Serial No.,College Name,Ranking Agency,Year,Rank
606,IFET College of Engineering - [IFET],Overall,2022 Ranking,-
606,IFET College of Engineering - [IFET],B.Tech,2024 Ranking,#247|  out of 284 in  |India 2024|#38th in Tamil Nadu
606,IFET College of Engineering - [IFET],B.Tech,2023 Ranking,#226|  out of 246 in  |India 2023
606,IFET College of Engineering - [IFET],B.Tech,2022 Ranking,#217|  out of 238 in  |India 2022
607,KMCT College of Engineering,No data found,No data found,No data found
608,KPR Institute of Engineering & Technology - [KPRIET],B.Tech,2022 Ranking,#159|  out of 238 in  |India 2022
609,Kathir College of Engineering,B.Tech,2024 Ranking,#157|  out of 355 in  |Tamil Nadu 2024
610,Lakireddy Bali Reddy College of Engineering - [LBRCE],Overall,2024 Ranking,-
610,Lakireddy Bali Reddy College of Engineering - [LBRCE],Overall,2023 Ranking,#258|  out of 281 in  |India 2023|#19th in Andhra Pradesh
610,Lakireddy Bali Reddy College of Engineering - [LBRCE],Overall,2022 Ranking,-
610,Lakireddy Bali Reddy College of Engineering - [LBRCE],B.Tech,2024 Ranking,#264|  out of 284 in  |India 2024|#20th in Andhra Pradesh
610,Lakireddy Bali Reddy College of Engineering - [LBRCE],B.Tech,2023 Ranking,#224|  out of 246 in  |India 2023
610,Lakireddy Bali Reddy College of Engineering - [LBRCE],B.Tech,2022 Ranking,#223|  out of 238 in  |India 2022
611,MEA Engineering College- [MEAEC],No data found,No data found,No data found
612,M. Kumarasamy College of Engineering - [MKCE],Overall,2024 Ranking,-
612,M. Kumarasamy College of Engineering - [MKCE],Overall,2023 Ranking,#190|  out of 281 in  |India 2023|#25th in Tamil Nadu
612,M. Kumarasamy College of Engineering - [MKCE],Overall,2022 Ranking,-
612,M. Kumarasamy College of Engineering - [MKCE],B.Tech,2024 Ranking,#191|  out of 284 in  |India 2024|#25th in Tamil Nadu
612,M. Kumarasamy College of Engineering - [MKCE],B.Tech,2023 Ranking,#158|  out of 246 in  |India 2023
612,M. Kumarasamy College of Engineering - [MKCE],B.Tech,2022 Ranking,#143|  out of 238 in  |India 2022
613,Mahaveer Institute of Science and Technology- [MIST],No data found,No data found,No data found
614,Mailam Engineering College,Overall,2024 Ranking,-
